manufacturer,sku,colour_name,hex,lab_l,lab_a,lab_b,matched_standard
Arriscraft International,ARRIS-ABBEY-ROAD-MDT-218SAWN,Abbey Road,#BEB7AA,74.6457,0.2068,7.4906,Cream
Arriscraft International,ARRIS-ABBEY-ROAD-MDT-218,Abbey Road,#B3ACA0,70.6129,0.3885,7.0633,Grey
Arriscraft International,ARRIS-ABBEY-ROAD-MDT-358SAWN,Abbey Road,#A7A59B,67.6448,-1.1059,5.4357,Grey
Arriscraft International,ARRIS-ABBEY-ROAD-MDT-358,Abbey Road,#B3AB9E,70.3006,0.591,7.7172,Grey
Arriscraft International,ARRIS-ABBEY-ROAD-MDT-578,Abbey Road,#A7A59B,67.6448,-1.1059,5.4357,Grey
Arriscraft International,ARRIS-ADAIR-LIME-ADL,Adair Limestone,#7B766D,49.8243,0.2201,5.6402,Grey
Arriscraft International,ARRIS-ADAIR-PARL-ADP,Adair Parliament,#9C917F,60.6499,0.9804,11.0337,Grey
Arriscraft International,ARRIS-ALPINE-W-CONT,Alpine White,#C3B9AF,75.6965,1.8006,6.3349,White
Arriscraft International,ARRIS-ALPINE-W-TVB,Alpine White,#C5BFB8,77.6339,0.8635,4.2734,White
Arriscraft International,ARRIS-AMALFI-CST-SAWN,Amalfi,#9C9584,61.8511,-0.4229,9.9073,Grey
Arriscraft International,ARRIS-AMALFI-CST,Amalfi,#9C9584,61.8511,-0.4229,9.9073,Grey
Arriscraft International,ARRIS-ANVIL-STK-SAWN,Anvil,#6C6E6C,46.2078,-1.1732,0.8463,Grey
Arriscraft International,ARRIS-ANVIL-STK,Anvil,#676968,44.2131,-0.9765,0.2921,Grey
Arriscraft International,ARRIS-ARRIS-CAST-ACT,Arris Cast,#A1826F,56.7721,9.0193,14.7879,Orange
Arriscraft International,ARRIS-ASH-STK-SAWN,Ash,#A8A08F,66.0972,-0.0564,9.9075,Grey
Arriscraft International,ARRIS-ASH-STK,Ash,#A09687,62.5376,1.0632,9.2385,Grey
Arriscraft International,ARRIS-AUGUSTA-MTH,Augusta,#A28A6C,58.9197,4.5156,19.4533,Buff
Arriscraft International,ARRIS-AVALANCHE-ULS,Avalanche,#C0B4AA,74.0304,2.5455,6.6297,Cream
Arriscraft International,ARRIS-AVALANCHE-EDR,Avalanche,#C7C2BA,78.6194,0.3314,4.6386,White
Arriscraft International,ARRIS-BAJA-CST-SAWN,Baja,#C9B69A,74.955,2.353,16.7399,Buff
Arriscraft International,ARRIS-BAJA-CST,Baja,#C8B08E,73.0779,3.4999,20.619,Buff
Arriscraft International,ARRIS-BARNWOOD-MTH,Barnwood,#9A836A,56.2309,4.885,16.789,Grey
Arriscraft International,ARRIS-BASALT-ATL,Basalt,#777B74,51.0928,-2.8967,3.3044,Grey
Arriscraft International,ARRIS-BASALT-ACP,Basalt,#777B74,51.0928,-2.8967,3.3044,Grey
Arriscraft International,ARRIS-BASALT-GRN,Basalt,#808785,55.6958,-2.9715,0.184,Grey
Arriscraft International,ARRIS-BEACH-STK,Beach,#C7B299,73.7287,3.582,15.5438,Buff
Arriscraft International,ARRIS-BEACH-STK-SAWN,Beach,#CDBDA6,77.357,1.9197,13.6816,Cream
Arriscraft International,ARRIS-BEDFORD-CRN,Bedford,#DED6BF,85.6977,-1.0774,12.3495,Cream
Arriscraft International,ARRIS-BEECH-MOUN-HFL,Beech Mountain,#7E695A,46.0112,5.8897,11.5565,Brown
Arriscraft International,ARRIS-BIG-HORN-OLC,Big Horn,#97887A,57.6485,3.2497,9.5749,Grey
Arriscraft International,ARRIS-BIRCHBARK-CRN,Birchbark,#A39C96,64.776,1.459,4.0475,Grey
Arriscraft International,ARRIS-BISCAYNE-MDT-358SAWN,Biscayne,#D2D0CD,83.5586,0.154,1.7305,White
