manufacturer,sku,colour_name,collection,sizeLabel
Acme Brick,SKU-FROST-4438,Pink,,Standard
Acme Brick,SKU-OLD-D-8865,Pink,,Standard
Arriscraft International,ARRIS-SEPIA-ADA,Sepia,Adair Anchored Dimension Stone,
Arriscraft International,ARRIS-ADAIR-LIME-ADL,Adair Limestone,Adair Limestone,"2-5/16"" H × Random L × 3-5/8"" (±1/4"") D|5"" H × Random L × 3-5/8"" (±1/4"") D|7-5/8"" H × Random L × 3-5/8"" (±1/4"") D"
Arriscraft International,ARRIS-BLUE-GREY--ADL,Blue Grey Georgian Blend,Adair Limestone,"2-5/16"" H × Random L × 3-5/8"" (±1/4"") D|5"" H × Random L × 3-5/8"" (±1/4"") D|7-5/8"" H × Random L × 3-5/8"" (±1/4"") D"
Arriscraft International,ARRIS-SEPIA-GEOR-ADL,Sepia Georgian Blend,Adair Limestone,"2-5/16"" H × Random L × 3-5/8"" (±1/4"") D|5"" H × Random L × 3-5/8"" (±1/4"") D|7-5/8"" H × Random L × 3-5/8"" (±1/4"") D"
Arriscraft International,ARRIS-BLUE-GREY-ADM,Blue Grey,Adair Masonry Units,"3-1/2"" H × 23-1/4"" L × 3-1/2"" D|7-1/2"" H × 23-1/4"" L × 3-1/2"" D|11-3/8"" H × 23-1/4"" L × 3-1/2"" D|3-5/8"" H × 23-1/4"" L × 3-1/2"" D|7-5/8"" H × 23-1/4"" L × 3-1/2"" D|11-5/8"" H × 23-1/4"" L × 3-1/2"" D"
Arriscraft International,ARRIS-SEPIA-ADM,Sepia,Adair Masonry Units,"3-1/2"" H × 23-1/4"" L × 3-1/2"" D|7-1/2"" H × 23-1/4"" L × 3-1/2"" D|11-3/8"" H × 23-1/4"" L × 3-1/2"" D|3-5/8"" H × 23-1/4"" L × 3-1/2"" D|7-5/8"" H × 23-1/4"" L × 3-1/2"" D|11-5/8"" H × 23-1/4"" L × 3-1/2"" D"
Arriscraft International,ARRIS-ADAIR-PARL-ADP,Adair Parliament,Adair Parliament,"3-5/8"" H × Random L × 3-5/8"" D|7-5/8"" H × Random L × 3-5/8"" D|11-5/8"" H × Random L × 3-5/8"" D"
Arriscraft International,ARRIS-BURNT-UM-ALSB-GRH,Burnt Umber,Architectural Linear Series Brick,"2-1/4"" H × Random (up to 23-5/8"") L × 3-3/4"" D"
